§sequence§labels§scores§Top 3
0§Freie Demokraten Freie Demokraten  Beschluss des  Ord§bildung§0.3781391978263855§[('bildung', 0.3781391978263855), ('politik und ideologie', 0.3347404897212982), ('gesundheit', 0.08408195525407791)]
0§Wir respektieren die persönliche Entscheidung jeder und jedes Einzelnen, weil wir darin die Grundlage für die Freiheit der Menschen erkennen§bildung§0.3551902174949646§[('bildung', 0.3551902174949646), ('gesundheit', 0.27062803506851196), ('klima', 0.0748118981719017)]
0§Wir Freie Demokraten setzen auf Freiheit, Rechtsstaat und Bürgerrechte, die auch in Krisenzeiten gelten und nicht als „Privilegien“ abgetan werden dürfen, die uns nach Belieben zugeteilt oder vorenthalten werden können§politik und ideologie§0.46362945437431335§[('politik und ideologie', 0.46362945437431335), ('bildung', 0.20863361656665802), ('gesundheit', 0.09520801156759262)]
0§Wir Freie Demokraten setzen auf die Kraft der Eigenverantwortung, der Privatinitiative,  der Freiheit des Individuums§politik und ideologie§0.3912956714630127§[('politik und ideologie', 0.3912956714630127), ('gesundheit', 0.20886260271072388), ('bildung', 0.19278843700885773)]
0§Wir wollen ein Land, das ge- meinsam mit unseren Wertepartnern des globalen Westens Freiheit und Menschenrechte weltweit entschlossen verteidigt und wo immer möglich globale Kooperation und nachhaltige Entwicklung zum Wohle aller Menschen befördert§bildung§0.29160791635513306§[('bildung', 0.29160791635513306), ('gesundheit', 0.23563595116138458), ('politik und ideologie', 0.15843670070171356)]
0§Wir Freie Demokraten erkennen in der Agenda der Vereinten Nationen und ihren Zielen den bisher umfassendsten Versuch der Menschheit, die verschiedenen Aspekte nach- haltiger Entwicklung in ein global verbindendes Zielsystem zu bringen§politik und ideologie§0.3761039674282074§[('politik und ideologie', 0.3761039674282074), ('bildung', 0.14721257984638214), ('gesundheit', 0.09890657663345337)]
0§Das ist eine Chance auf mehr Freiheit für alle und für zukünftige Generationen§gesundheit§0.36427146196365356§[('gesundheit', 0.36427146196365356), ('bildung', 0.26424893736839294), ('klima', 0.11656786501407623)]
0§Wir wollen ein Land, das seinen Beitrag zur globalen Entwicklung leistet und dem Frieden der Welt dient§bildung§0.3609190881252289§[('bildung', 0.3609190881252289), ('gesundheit', 0.20845963060855865), ('soziale ursachen', 0.08993194252252579)]
0§Wir Freie Demokraten setzen auf Weltoffenheit, Toleranz und den Wettbewerb der besten Ideen: in einer lebendigen Demokratie selbstbewusster Bürgerinnen und Bürger§politik und ideologie§0.6271314024925232§[('politik und ideologie', 0.6271314024925232), ('bildung', 0.18752430379390717), ('gesundheit', 0.05722978711128235)]
0§Das ist unser Ziel§bildung§0.2784808278083801§[('bildung', 0.2784808278083801), ('gesundheit', 0.27249327301979065), ('wirtschaft', 0.09844709932804108)]
0§Das ist die richtige Richtung§bildung§0.2763606905937195§[('bildung', 0.2763606905937195), ('gesundheit', 0.2330298125743866), ('politik und ideologie', 0.13734892010688782)]
0§Nie gab es mehr zu tun, um unserem Land die richtige Rich- tung zu geben§none§0.36492711305618286§[('none', 0.36492711305618286), ('gesundheit', 0.21294505894184113), ('bildung', 0.12027834355831146)]
0§Daran wollen wir Freie Demokraten mitwirken§politik und ideologie§0.4478839635848999§[('politik und ideologie', 0.4478839635848999), ('gesundheit', 0.14605775475502014), ('bildung', 0.13671627640724182)]
0§Als Stimme des Fortschritts und der Freiheit wollen wir die Krise gemeinsam mit den Bürgerinnen und Bürgern bewältigen und Deutschlands Potentiale entfesseln§bildung§0.3497604429721832§[('bildung', 0.3497604429721832), ('gesundheit', 0.20898710191249847), ('politik und ideologie', 0.11800574511289597)]
0§Wir legen hier unser Programm vor, das aus Überzeugung gemacht ist§gesundheit§0.3922971189022064§[('gesundheit', 0.3922971189022064), ('bildung', 0.30890190601348877), ('wissenschaft', 0.10617291182279587)]
0§Es geht nicht um Taktik, es geht nicht um Farbenspiele§gesundheit§0.28801360726356506§[('gesundheit', 0.28801360726356506), ('wirtschaft', 0.17378680408000946), ('bildung', 0.14383985102176666)]
0§Wir treten  bei der Bundestagswahl nicht für Koalitionen an, sondern für unsere Überzeugung: Wir wollen den richtigen Weg für unser Land§politik und ideologie§0.25062572956085205§[('politik und ideologie', 0.25062572956085205), ('bildung', 0.22792674601078033), ('gesundheit', 0.19132350385189056)]
0§Wir wollen so stark werden, dass keine seriöse Bundes- regierung ohne die Freien Demokraten gebildet werden kann, damit der Wert der Freiheit bei jeder politischen Entscheidung seine angemessene Bedeutung erhält§politik und ideologie§0.3391321301460266§[('politik und ideologie', 0.3391321301460266), ('bildung', 0.2418629676103592), ('gesundheit', 0.21041886508464813)]
0§Das gibt uns die Macht, möglichst viele unserer Ideen umzusetzen§politik und ideologie§0.554104208946228§[('politik und ideologie', 0.554104208946228), ('bildung', 0.18791013956069946), ('gesundheit', 0.08145517110824585)]
0§Wir wollen nicht ge- wählt werden, damit dieser Kanzler oder jene Kanzlerin wird§gesundheit§0.3891221582889557§[('gesundheit', 0.3891221582889557), ('bildung', 0.14478184282779694), ('politik und ideologie', 0.1332736611366272)]
0§Wir stellen uns nicht zur Wahl, damit jemand etwas wird§gesundheit§0.2715567350387573§[('gesundheit', 0.2715567350387573), ('bildung', 0.15937747061252594), ('politik und ideologie', 0.12678419053554535)]
0§Wir stellen uns zur Wahl, damit es unserem Land besser geht: mit mehr individueller Freiheit und persönlicher Verantwortung, mit mehr Sozialer Marktwirtschaft und umfassender Nachhaltig- keit§gesundheit§0.26775500178337097§[('gesundheit', 0.26775500178337097), ('wirtschaft', 0.23318113386631012), ('soziale ursachen', 0.16400302946567535)]
0§Und mit einem Staat, der stark ist, weil er schlank und modern agiert statt selbstzufrieden, altmodisch und träge§bildung§0.3321040868759155§[('bildung', 0.3321040868759155), ('gesundheit', 0.1996738761663437), ('politik und ideologie', 0.17245273292064667)]
0§Das Programm der Freien Demokraten zur Bundestagswahl Wie es ist, darf es nicht bleiben: Große Demokratien wie die USA setzen wieder Kurs auf kräftiges und anhaltendes Wirtschaftswachstum§wirtschaft§0.27759674191474915§[('wirtschaft', 0.27759674191474915), ('politik und ideologie', 0.26729512214660645), ('gesundheit', 0.16923649609088898)]
0§Systemische Wettbewerber wie das autoritäre Regime Chinas reklamieren für sich erfolgreichere Wege aus der Krise§bildung§0.3068225681781769§[('bildung', 0.3068225681781769), ('gesundheit', 0.23669250309467316), ('politik und ideologie', 0.19662217795848846)]
0§Umso entschlossener müssen wir jetzt das Fundament für einen Aufholwettbewerb legen: Werden wir Weltspitze bei der Wettbewerbsfähigkeit statt bei Steuern und Abgaben§bildung§0.38238823413848877§[('bildung', 0.38238823413848877), ('gesundheit', 0.2286892682313919), ('wirtschaft', 0.13300421833992004)]
0§Investieren wir massiv in die Grundlagen von Aufstieg und Wachstum: unser Bildungssystem§bildung§0.6381694078445435§[('bildung', 0.6381694078445435), ('gesundheit', 0.11509270966053009), ('wirtschaft', 0.0961494967341423)]
0§Lassen wir unsere Infrastrukturen nicht länger verkommen, sondern bauen sie aus§infrastruktur§0.5035032629966736§[('infrastruktur', 0.5035032629966736), ('bildung', 0.13162367045879364), ('wirtschaft', 0.09894474595785141)]
0§Stärken wir die Kräfte der Sozialen Markt- wirtschaft und des Freihandels§wirtschaft§0.4671168625354767§[('wirtschaft', 0.4671168625354767), ('soziale ursachen', 0.3208480179309845), ('bildung', 0.09636072814464569)]
0§Bringen wir das Verhältnis von Privat und Staat wieder in eine die Leistungsbereitschaft fördernde Balance§bildung§0.38308805227279663§[('bildung', 0.38308805227279663), ('gesundheit', 0.2510075867176056), ('wirtschaft', 0.13851596415042877)]
0§Geben wir Mittelstand, Selbstständigen und Start-ups mehr Raum für Erfolg und kreative Lösungen§bildung§0.3280244767665863§[('bildung', 0.3280244767665863), ('wirtschaft', 0.22022303938865662), ('gesundheit', 0.09439146518707275)]
0§Ermutigen statt erschweren: Das ist unsere Mission§gesundheit§0.2457723766565323§[('gesundheit', 0.2457723766565323), ('bildung', 0.17548900842666626), ('politik und ideologie', 0.15178871154785156)]
0§Bereits vor der Coronakrise hat Deutschlands Wirtschaft an Fahrt verloren§wirtschaft§0.6708523035049438§[('wirtschaft', 0.6708523035049438), ('gesundheit', 0.1251441389322281), ('bildung', 0.09318124502897263)]
0§Nun müssen wir trotz Krise schnell wieder auf Wachstumskurs kommen§wirtschaft§0.2146991789340973§[('wirtschaft', 0.2146991789340973), ('gesundheit', 0.2106841802597046), ('klima', 0.16217000782489777)]
0§Für einen zukunftsfähigen Standort und Arbeitsplätze brauchen wir echte Modernisierungsimpul- se§bildung§0.30983877182006836§[('bildung', 0.30983877182006836), ('infrastruktur', 0.18349307775497437), ('wirtschaft', 0.14126814901828766)]
0§Wir Freie Demokraten setzen dabei auf die Innovations- kraft der Sozialen Marktwirtschaft und auf eine Agenda für mehr Wachstum: entlasten, entfesseln, investieren§wirtschaft§0.37657374143600464§[('wirtschaft', 0.37657374143600464), ('politik und ideologie', 0.23565033078193665), ('bildung', 0.1492474526166916)]
0§Schnelle Hilfe durch „Negative Gewinnsteuer” in Wirtschaftskrisen  Wir Freie Demokraten fordern, dass eine kurzfristige Liquidi- tätshilfe direkt vom Finanzamt ausgezahlt werden kann§wirtschaft§0.4964979588985443§[('wirtschaft', 0.4964979588985443), ('politik und ideologie', 0.15506023168563843), ('gesundheit', 0.12084200978279114)]
0§Statt Steuervorauszahlungen von den Konten der Unternehmen abzu- buchen, überweisen die Finanzämter eine negative Einkommen- beziehungsweise Körperschaftsteuer als Liquiditätssoforthilfe: die „Negative Gewinnsteuer”§bildung§0.23844526708126068§[('bildung', 0.23844526708126068), ('wirtschaft', 0.19315879046916962), ('soziale ursachen', 0.18139684200286865)]
0§Als Bemessungsgrundlage dient der letzte Steuerbescheid§gesundheit§0.43209975957870483§[('gesundheit', 0.43209975957870483), ('wirtschaft', 0.16816607117652893), ('bildung', 0.14664286375045776)]
0§In einem zweiten Schritt soll eine deutlich erweiterte Verlustverrechnung mit Gewinnen vergange- ner oder künftiger Jahre eingeführt werden§bildung§0.45115330815315247§[('bildung', 0.45115330815315247), ('gesundheit', 0.17744438350200653), ('wirtschaft', 0.12162782996892929)]
0§Damit sorgen wir  in wirtschaftlichen Krisenzeiten für schnelle und unbürokratische Hilfen und verhindern unnötige Jobverluste und Insolvenzen§wirtschaft§0.6338037252426147§[('wirtschaft', 0.6338037252426147), ('bildung', 0.10437177121639252), ('gesundheit', 0.07276269048452377)]
0§Entfesselungspakt für die deutsche Wirtschaft  Wir Freie Demokraten fordern einen Entfesselungspakt für  die deutsche Wirtschaft, in dem Maßnahmen zur Bürokratie- entlastung gebündelt und vorangetrieben werden§wirtschaft§0.44047385454177856§[('wirtschaft', 0.44047385454177856), ('bildung', 0.181210458278656), ('politik und ideologie', 0.16114860773086548)]
0§Der stetig wachsende Bürokratiedschungel belastet die Bürgerinnen  und Bürger sowie die deutschen Unternehmen und bremst die wirtschaftliche Entwicklung aus§wirtschaft§0.4391074776649475§[('wirtschaft', 0.4391074776649475), ('bildung', 0.22008353471755981), ('gesundheit', 0.11985095590353012)]
0§Initiativen wie das Bürokratie-  Das Programm der Freien Demokraten zur Bundestagswahl  entlastungsgesetz IV, die Strategie „Einheitliche Ansprech- partner  und eine Verlegung der Sozialversicherungsbei- träge in den Folgemonat müssen zu einer Gesamtstrategie gebündelt werden§politik und ideologie§0.2940315306186676§[('politik und ideologie', 0.2940315306186676), ('bildung', 0.26029324531555176), ('soziale ursachen', 0.1528807282447815)]
0§Das gilt auch für schlankere Vergabe-, Register- und Informationsbestimmungen§bildung§0.41285908222198486§[('bildung', 0.41285908222198486), ('gesundheit', 0.18313494324684143), ('infrastruktur', 0.09111645817756653)]
0§Für jede neue Belas- tung durch geplante Regelungen sollen im doppelten Umfang Belastungen abgebaut werden („One in, two out”) - auch auf europäischer Ebene§bildung§0.40215596556663513§[('bildung', 0.40215596556663513), ('gesundheit', 0.1564440280199051), ('wissenschaft', 0.11188516765832901)]
0§Unternehmensteuerlast auf Prozent senken  Wir Freie Demokraten wollen die steuerliche Belastung von Unternehmen auf den OECD-Durchschnitt (Organisation für wirtschaftliche Zusammenarbeit und Entwicklung) von rund  Prozent senken§wirtschaft§0.34763431549072266§[('wirtschaft', 0.34763431549072266), ('bildung', 0.22790934145450592), ('politik und ideologie', 0.16449469327926636)]
0§Unser Ziel ist es, im Zuge der angestreb- ten Harmonisierung der Unternehmensbesteuerung in Europa den deutschen Sonderweg der Gewerbesteuer zu beenden§bildung§0.3346237540245056§[('bildung', 0.3346237540245056), ('gesundheit', 0.20348799228668213), ('wirtschaft', 0.11328572034835815)]
0§Das heißt zugleich, dass die Finanzierung der Kommunen auf eine neue Grundlage gestellt werden muss — etwa durch einen kommunalen Zuschlag mit eigenem Hebesatzrecht auf die Körperschaftsteuer und auf die zuvor abgesenkte Ein- kommensteuer sowie einen höheren Anteil der Kommunen an der Umsatzsteuer§bildung§0.2425231635570526§[('bildung', 0.2425231635570526), ('wirtschaft', 0.18412335216999054), ('gesundheit', 0.14645834267139435)]
0§Zudem wollen wir uns gemeinsam mit den USA für eine globale Mindestbesteuerung für Unternehmen einsetzen§bildung§0.31419381499290466§[('bildung', 0.31419381499290466), ('gesundheit', 0.24773353338241577), ('klima', 0.08604925870895386)]
0§So sorgen wir für mehr Fairness im Wettbewerb zwischen großen internationalen Konzernen, die aggressive Steuervermeidung betreiben, und Mittelständlern§gesundheit§0.3570910394191742§[('gesundheit', 0.3570910394191742), ('wirtschaft', 0.22579286992549896), ('bildung', 0.14631249010562897)]
0§Forschung und Entwicklung steuerlich fördern  Wir Freie Demokraten wollen Forschung und Entwicklung steuerlich stärker fördern§bildung§0.21168437600135803§[('bildung', 0.21168437600135803), ('politik und ideologie', 0.1995052695274353), ('wirtschaft', 0.16007563471794128)]
0§Deutschland kann nur dann dauer- haft Wohlstand und soziale Sicherheit gewährleisten, wenn die Unternehmen innovative Produkte und Dienstleistungen entwickeln§soziale ursachen§0.32843461632728577§[('soziale ursachen', 0.32843461632728577), ('bildung', 0.1967812180519104), ('wirtschaft', 0.16300047934055328)]
0§Das Steuerrecht muss dazu einen Beitrag leisten, indem es die Rahmenbedingungen für die Bereitstellung von Wagniskapital verbessert§wirtschaft§0.4001429080963135§[('wirtschaft', 0.4001429080963135), ('bildung', 0.2724497318267822), ('gesundheit', 0.11037842184305191)]
0§Dadurch schaffen wir bessere Bedingungen für Start-ups und geben Innovationen eine Chance§bildung§0.5137878060340881§[('bildung', 0.5137878060340881), ('gesundheit', 0.09942469745874405), ('infrastruktur', 0.09792199730873108)]
0§Gerade die Coronakrise hat gezeigt, dass der stete Wandel der Wirtschaft neue Ideen und Wege erfordert§wirtschaft§0.6272995471954346§[('wirtschaft', 0.6272995471954346), ('bildung', 0.1504278928041458), ('politik und ideologie', 0.1116553395986557)]
0§So muss Deutschland bei der Digitalisierung aufholen§gesundheit§0.3833077549934387§[('gesundheit', 0.3833077549934387), ('bildung', 0.20889431238174438), ('soziale ursachen', 0.12924028933048248)]
0§Deshalb brauchen wir ein Steuerrecht, das innovative Unternehmen unterstützt§wirtschaft§0.5546132922172546§[('wirtschaft', 0.5546132922172546), ('gesundheit', 0.20515407621860504), ('bildung', 0.1410100758075714)]
0§Verbesserte Abschreibungsbedingungen  Wir Freie Demokraten wollen die Abschreibungsbedingungen verbessern§bildung§0.37272632122039795§[('bildung', 0.37272632122039795), ('politik und ideologie', 0.18107956647872925), ('gesundheit', 0.13789573311805725)]
0§Hierzu sollen die degressive Abschreibung (AfA) für bewegliche Wirtschaftsgüter verstetigt und für digitale Güter einheitliche und verkürzte Abschreibungsfristen von höchstens drei Jahren festgesetzt werden, sofern nicht eine Sofortabschreibung in Betracht kommt§wirtschaft§0.3385305404663086§[('wirtschaft', 0.3385305404663086), ('bildung', 0.25743019580841064), ('gesundheit', 0.11506272852420807)]
